Court,State,Judge,Tdecisions,Pgrant,Pother,Pdeny
Houston,Texas,"Greenstein, Saul",735,13.5,2.2,84.4
Houston,Texas,"Ramos, Maritza",255,18.4,2,79.6
Houston,Texas,"Osborn, Joshua D.",236,17.8,3,79.2
Houston,Texas,"Nguyen, Bao Q.",381,22.8,5,72.2
,,,,,,
Houston - Gessner,Texas,"Brown, Kevin",301,2.7,8,89.4
Houston - Gessner,Texas,"McPhail, John",203,5.9,9.9,84.2
Houston - Gessner,Texas,"Rankin Yates, Clarease Rankin",341,6.2,11.1,82.7
Houston - Gessner,Texas,"Jenkins, Arkesia",194,5.7,19.1,75.3
Houston - Gessner,Texas,"Schumann, Christopher M.",260,6.2,19.6,74.2
Houston - Gessner,Texas,"Jones, Delana M.",209,5.7,21.1,73.2
Houston - Gessner,Texas,"Cordero Gonzalez, Miguel A.",156,9,17.9,73.1
Houston - Gessner,Texas,"Thompson, Kenley",117,5.1,23.9,70.9
Houston - Gessner,Texas,"Dvorak, Charissa",187,19.8,10.2,70.1
,,,,,,
Houston - Greenspoint,Texas,"Wells, Kenya",298,5.7,1,93.3
Houston - Greenspoint,Texas,"Landis, Brent H.",270,6.7,0.4,93
Houston - Greenspoint,Texas,"Hempel, Nicholle M.",154,7.1,0,92.9
Houston - Greenspoint,Texas,"McGuirk, Erica J.",134,6.7,0.7,92.5
Houston - Greenspoint,Texas,"Guidry, Monica Thompson",117,4.3,3.4,92.3
Houston - Greenspoint,Texas,"Schwab, Jodie",183,6.6,1.6,91.8
Houston - Greenspoint,Texas,"Pobjecky, Artie",199,7,1.5,91.5
Houston - Greenspoint,Texas,"White, Romaine",224,8.5,0.4,91.1
Houston - Greenspoint,Texas,"Jovanovic, Adam",183,10.4,0,89.6
Houston - Greenspoint,Texas,"Lee, Alexander",286,14,0,86
Houston - Greenspoint,Texas,"Whitworth, Mark",215,10.2,5.1,84.7
Houston - Greenspoint,Texas,"Perez, Alex",164,15.9,0.6,83.5
Houston - Greenspoint,Texas,"Phan, Christopher",202,18.3,0,81.7
Houston - Greenspoint,Texas,"Tamez, Lydia",196,21.4,1.5,77
,,,,,,
Hyattsville,Maryland,"Bohrer, Matthew",168,27.4,0,72.6
Hyattsville,Maryland,"Kanellakos, Thanos",122,45.9,0.8,53.3
Hyattsville,Maryland,"Reilly, Kathleen",164,54.9,3,42.1
Hyattsville,Maryland,"Igoe, Alison",156,59.6,5.1,35.3
Hyattsville,Maryland,"Williams, Phillip T.",134,61.2,5.2,33.6
Hyattsville,Maryland,"Niburg, Rebecca",146,67.1,1.4,31.5
Hyattsville,Maryland,"Bowens, Tanisha",125,71.2,0.8,28
Hyattsville,Maryland,"Rubenstein, John S.",226,77,0.9,22.1
Hyattsville,Maryland,"Gansallo, Ayodele",135,79.3,2.2,18.5
Hyattsville,Maryland,"Jones, David M.",199,81.4,0.5,18.1
Hyattsville,Maryland,"Verma, Dinesh C.",173,78.6,8.7,12.7
Hyattsville,Maryland,"Koelsch, David",380,86.3,1.3,12.4
Hyattsville,Maryland,"Cubas, Claudia",268,88.8,0.4,10.8
,,,,,,
Imperial,California,"Habich, Paul M.",130,30,0.8,69.2
Imperial,California,"Perry, Anne",341,33.7,6.5,59.8
Imperial,California,"Pressman, Christian M.",200,51.5,7,41.5
Imperial,California,"Barcus, E. Mark",353,50.4,12.7,36.8
Imperial,California,"Robinson, Eugene H., Jr.",210,51.9,16.7,31.4
Imperial,California,"Munoz, Jeffrey V.",176,73.9,2.8,23.3
,,,,,,
Jena,Louisana,"Landis, Brent H.",335,3.9,0.9,95.2
Jena,Louisana,"Crooks, Grady A",243,4.9,0,95.1
Jena,Louisana,"Fuller, Steven B.",138,4.3,1.4,94.2
Jena,Louisana,"Thogersen, Cassie A.",179,6.7,1.7,91.6
Jena,Louisana,"Munson, Angela",174,9.2,1.7,89.1
Jena,Louisana,"Midgley, Ian D.",106,12.3,0.9,86.8
Jena,Louisana,"Robbins, Kandra K.",142,20.4,0.7,78.9
,,,,,,
Kansas City,Missouri,"Salinardi, Jayme",770,4.4,0.6,94.9
Kansas City,Missouri,"Baker, Glen R.",334,13.8,2.4,83.8
Kansas City,Missouri,"Howard, Justin W.",1087,18.6,0.6,80.8
Kansas City,Missouri,"Johnson, Colin Patrick",146,15.8,3.4,80.8
,,,,,,
Laredo,Texas,"Adams, Justin",413,8.7,2.7,88.6
Laredo,Texas,"Crossan, Thomas G., Jr.",163,18.4,1.8,79.8
Laredo,Texas,"Hart, Brandon L.",116,16.4,6.9,76.7
Laredo,Texas,"Harlow, Craig A.",112,27.7,0.9,71.4
Laredo,Texas,"McCullough, Charles M.",104,35.6,0,64.4
Laredo,Texas,"Eller, Donald R., Jr.",118,29.7,5.9,64.4
Laredo,Texas,"Gonzalez, Yvonne",106,36.8,0,63.2
Laredo,Texas,"Newaz, Rifian S.",196,28.1,9.2,62.8
Laredo,Texas,"Lafuente-Gaona, Cynthia",112,43.8,6.3,50
Laredo,Texas,"Santander, Daniel J.",101,52.5,20.8,26.7
,,,,,,
Las Vegas,Nevada,"Romig, Jeffrey L.",123,3.3,0,96.7
Las Vegas,Nevada,"Sharda, Munish",435,3.2,1.8,94.9
Las Vegas,Nevada,"Alberdi, Yon K.",166,14.5,0.6,84.9
Las Vegas,Nevada,"Daugherty, Daniel J.",111,18.9,2.7,78.4
Las Vegas,Nevada,"McDermott, Ann M.",536,31.9,3.2,64.9
Las Vegas,Nevada,"Nguyen, An Mai",389,45.2,2.8,51.9
Las Vegas,Nevada,"Baker, Glen R.",447,54.4,2.2,43.4
Las Vegas,Nevada,"Roberts, Lindsy M.",323,56.3,5.3,38.4
,,,,,,
Los Angeles,California,"O'Connor, Lee A.",238,2.9,0.4,96.6
Los Angeles,California,"Miller, Jeffrey S.",280,9.3,1.8,88.9
Los Angeles,California,"Francis, Leon J.",830,10.8,0.2,88.9
Los Angeles,California,"Fellrath, Robert",105,13.3,1,85.7
Los Angeles,California,"Chon, Hye Y.",988,17.2,0.3,82.5
Los Angeles,California,"Waterloo, Jason",436,21.1,0.9,78
Los Angeles,California,"Juelle, Carlos R.",613,20.6,1.6,77.8
Los Angeles,California,"Sitgraves, Darcy D.",178,20.8,1.7,77.5
Los Angeles,California,"Jasso, Jaime",499,21.6,1.6,76.8
Los Angeles,California,"Latimore, Jan D.",342,21.9,1.8,76.3
Los Angeles,California,"Perry, Anne",113,22.1,1.8,76.1
Los Angeles,California,"Bank, Ira E.",328,21.6,3.4,75
Los Angeles,California,"Martz, Nicholas A.",204,21.1,3.9,75
Los Angeles,California,"Calcador, Kerri",229,24.5,0.9,74.7
Los Angeles,California,"Huddleston, Natalie",400,25.3,1.8,73
Los Angeles,California,"Ruane, Rachel A.",409,14.4,12.7,72.9
Los Angeles,California,"Guerrero, Marni",140,25,2.1,72.9
Los Angeles,California,"Burke, David H.",580,18.6,10.7,70.7
Los Angeles,California,"Behne, Audra R.",425,29.4,2.8,67.8
Los Angeles,California,"Miller, Nancy",449,29.2,3.1,67.7
Los Angeles,California,"Malvin, Daniel H.",242,31.8,2.1,66.1
Los Angeles,California,"Tabaddor, Afsaneh Ashley",175,28.6,6.9,64.6
Los Angeles,California,"Costa, Philip J.",577,36.4,0.7,62.9
Los Angeles,California,"Everett, Timothy R.",552,34.8,2.9,62.3
Los Angeles,California,"Patti, Sebastian T.",479,36.7,1,62.2
Los Angeles,California,"Bakke Varzandeh, Joyce A.",437,35.2,4.1,60.6
Los Angeles,California,"Virchis, Bridget",272,38.2,2.6,59.2
Los Angeles,California,"Dorfman, Arlene E.",265,41.1,0.4,58.5
Los Angeles,California,"Neumeister, David",206,42.2,0,57.8
Los Angeles,California,"Park, Jeannette Lim",258,41.9,3.5,54.7
Los Angeles,California,"Simons, Anita L.",869,38.6,7,54.4
Los Angeles,California,"Lee, Edward",277,44.8,1.8,53.4
Los Angeles,California,"Desai, Jankhana",268,40.7,9.7,49.6
Los Angeles,California,"Allen, Janette L.",258,50,0.8,49.2
Los Angeles,California,"Stancill, Christine E.",647,56,1.7,42.3
Los Angeles,California,"Hong, Andrea",248,57.3,2.8,39.9
Los Angeles,California,"Villegas, Veronica S.",230,60.4,3.5,36.1
Los Angeles,California,"Vahid-Tehrani, Gita",191,55.5,10.5,34
Los Angeles,California,"Siebert, Andrea",126,71.4,2.4,26.2
,,,,,,
Los Angeles - North,California,"Hope, Karen",156,6.4,0,93.6
Los Angeles - North,California,"Naselow-Nahas, Tara",628,6.4,0.3,93.3
Los Angeles - North,California,"Piepmeier, Kristin",559,7.9,2,90.2
Los Angeles - North,California,"Amaya, Roberto",147,8.8,1.4,89.8
Los Angeles - North,California,"Riley, Kevin W.",492,9.1,1.4,89.4
Los Angeles - North,California,"Medved, Paul N.",244,10.7,0,89.3
